swap_id,station_id,customer_id,timestamp,date,hour,day_of_week,duration_min,battery_health_pct,swap_successful
A98869EB,ST0009,C00080,2025-12-08 21:06:07.565037,2025-12-08,21,Monday,9,87,1
18F2BC93,ST0011,C01121,2026-02-01 10:27:07.565037,2026-02-01,10,Sunday,13,86,1
DAB4CB90,ST0079,C01386,2025-08-15 21:23:07.565037,2025-08-15,21,Friday,12,77,1
2E71A92B,ST0058,C00340,2026-01-26 05:32:07.565037,2026-01-26,5,Monday,7,69,1
1C8AE92F,ST0047,C01239,2026-03-03 00:47:07.565037,2026-03-03,0,Tuesday,4,76,1
7FCB3F08,ST0067,C01475,2025-07-03 04:55:07.565037,2025-07-03,4,Thursday,4,68,1
C97A910E,ST0005,C00012,2025-11-14 18:16:07.565037,2025-11-14,18,Friday,6,79,1
6D642AA8,ST0041,C00678,2025-06-27 21:30:07.565037,2025-06-27,21,Friday,8,66,1
3A2EBB5B,ST0018,C00707,2025-11-11 23:00:07.565037,2025-11-11,23,Tuesday,5,100,1
0563BE08,ST0073,C00873,2025-06-24 02:14:07.565037,2025-06-24,2,Tuesday,11,97,1
78B83D66,ST0060,C00415,2025-09-22 06:55:07.565037,2025-09-22,6,Monday,7,64,1
9298F9E6,ST0015,C00539,2025-05-09 00:13:07.565037,2025-05-09,0,Friday,11,96,1
77AEDFD9,ST0070,C01213,2025-12-10 12:37:07.565037,2025-12-10,12,Wednesday,8,98,1
6AC319F1,ST0014,C00006,2026-01-27 09:09:07.565037,2026-01-27,9,Tuesday,5,74,0
CEC5E4B2,ST0025,C00160,2025-05-02 22:05:07.565037,2025-05-02,22,Friday,11,63,1
6C6B8252,ST0043,C00670,2025-10-29 07:38:07.565037,2025-10-29,7,Wednesday,13,79,1
7B69A89C,ST0064,C00972,2025-05-17 01:31:07.565037,2025-05-17,1,Saturday,3,82,1
7C16A577,ST0006,C01240,2025-12-10 04:29:07.565037,2025-12-10,4,Wednesday,11,73,0
C5BDFCE1,ST0040,C01004,2026-02-05 02:41:07.565037,2026-02-05,2,Thursday,10,76,1
CF21F652,ST0028,C00365,2025-12-28 07:37:07.565037,2025-12-28,7,Sunday,10,61,1
3D5FB0BF,ST0079,C00392,2025-11-11 05:42:07.565037,2025-11-11,5,Tuesday,4,84,1
60F64577,ST0030,C01078,2025-03-23 00:24:07.565037,2025-03-23,0,Sunday,9,72,1
924701B8,ST0046,C00027,2025-08-23 04:02:07.565037,2025-08-23,4,Saturday,13,98,1
84EAD041,ST0043,C00816,2026-02-12 02:37:07.565037,2026-02-12,2,Thursday,4,62,0
7C01BAC3,ST0073,C00063,2026-03-13 02:13:07.565037,2026-03-13,2,Friday,2,90,0
DE2959D1,ST0015,C00970,2026-02-04 08:27:07.565037,2026-02-04,8,Wednesday,2,94,1
0163221A,ST0064,C00363,2025-04-06 04:57:07.565037,2025-04-06,4,Sunday,4,68,1
FC0CBC65,ST0057,C01456,2025-05-17 19:24:07.565037,2025-05-17,19,Saturday,4,63,1
6EE9F59E,ST0002,C00682,2025-12-21 02:50:07.565037,2025-12-21,2,Sunday,9,80,1
72D3F1B7,ST0084,C00751,2025-06-12 12:42:07.565037,2025-06-12,12,Thursday,11,93,1
421AB319,ST0005,C00396,2026-02-21 06:22:07.565037,2026-02-21,6,Saturday,10,92,1
EC9693BC,ST0040,C00092,2025-07-31 20:07:07.565037,2025-07-31,20,Thursday,4,77,1
56D04CEA,ST0076,C00007,2026-03-05 10:22:07.565037,2026-03-05,10,Thursday,10,79,1
5D8C83F1,ST0041,C01164,2025-09-12 21:17:07.565037,2025-09-12,21,Friday,12,65,1
7B88ED09,ST0006,C00381,2025-11-09 20:03:07.565037,2025-11-09,20,Sunday,9,80,1
D9102FB2,ST0001,C00446,2025-03-27 23:46:07.565037,2025-03-27,23,Thursday,7,100,1
3D763CD9,ST0080,C00392,2025-04-28 01:15:07.565037,2025-04-28,1,Monday,10,68,1
4B8A3BE0,ST0021,C00288,2025-09-28 03:07:07.565037,2025-09-28,3,Sunday,4,96,1
3DF352C9,ST0023,C00532,2025-07-11 00:13:07.565037,2025-07-11,0,Friday,9,88,1
0DF67320,ST0030,C00715,2025-11-23 05:33:07.565037,2025-11-23,5,Sunday,6,93,1
F53778F9,ST0013,C01102,2026-02-03 22:58:07.565037,2026-02-03,22,Tuesday,11,96,1
A4C00748,ST0058,C01397,2026-03-12 07:18:07.565037,2026-03-12,7,Thursday,6,78,1
1AC25A9D,ST0006,C01052,2026-03-11 10:31:07.565037,2026-03-11,10,Wednesday,10,73,1
7CE6C95D,ST0082,C00237,2025-11-12 01:58:07.565037,2025-11-12,1,Wednesday,3,93,1
484E0C1D,ST0050,C00774,2025-06-21 09:04:07.565037,2025-06-21,9,Saturday,5,97,1
1D0563B5,ST0028,C00017,2025-08-29 21:36:07.565037,2025-08-29,21,Friday,8,70,1
EF299996,ST0028,C00628,2025-09-05 04:37:07.565037,2025-09-05,4,Friday,9,70,1
81F682FC,ST0072,C01263,2025-06-20 18:24:07.565037,2025-06-20,18,Friday,6,89,1
6018C181,ST0020,C01482,2026-03-08 07:42:07.565037,2026-03-08,7,Sunday,3,83,1
BE7F3E20,ST0003,C00480,2025-11-20 06:15:07.565037,2025-11-20,6,Thursday,11,92,1
4BABCB43,ST0046,C00341,2025-10-22 02:32:07.565037,2025-10-22,2,Wednesday,7,79,1
6C54DC2A,ST0084,C01164,2026-03-10 10:08:07.565037,2026-03-10,10,Tuesday,8,68,1
6C307348,ST0072,C00709,2025-09-03 19:01:07.565037,2025-09-03,19,Wednesday,6,89,1
56EDA2AF,ST0013,C00411,2025-11-07 18:38:07.565037,2025-11-07,18,Friday,12,71,1
6AC938A7,ST0066,C00502,2025-04-27 23:11:07.565037,2025-04-27,23,Sunday,10,69,1
88C488D8,ST0014,C00706,2025-09-24 18:26:07.565037,2025-09-24,18,Wednesday,5,66,1
F6068DE1,ST0031,C00950,2026-03-04 06:40:07.565037,2026-03-04,6,Wednesday,8,75,1
64B58C24,ST0025,C00274,2025-05-06 06:04:07.565037,2025-05-06,6,Tuesday,11,85,1
1580DEAC,ST0044,C01372,2025-08-09 07:34:07.565037,2025-08-09,7,Saturday,7,97,1
D086366C,ST0019,C00756,2026-01-22 23:45:07.565037,2026-01-22,23,Thursday,8,83,1
AF206DE3,ST0044,C00385,2025-03-18 06:54:07.565037,2025-03-18,6,Tuesday,9,62,1
86F4B7FE,ST0031,C01340,2025-10-25 20:17:07.565037,2025-10-25,20,Saturday,9,71,1
DD454BAD,ST0020,C00864,2025-08-10 03:20:07.565037,2025-08-10,3,Sunday,6,71,1
F5648F70,ST0007,C00953,2026-03-02 10:49:07.565037,2026-03-02,10,Monday,4,65,1
C2FCC2FD,ST0011,C01177,2025-05-08 06:47:07.565037,2025-05-08,6,Thursday,8,92,1
B445D8A0,ST0058,C01373,2025-11-04 18:27:07.565037,2025-11-04,18,Tuesday,6,85,1
BE1FB555,ST0055,C00923,2025-04-14 03:23:07.565037,2025-04-14,3,Monday,7,92,1
849B3905,ST0048,C00748,2025-11-15 04:50:07.565037,2025-11-15,4,Saturday,12,67,1
09273BF8,ST0013,C00015,2025-10-21 11:44:07.565037,2025-10-21,11,Tuesday,4,81,1
BEE32708,ST0016,C01055,2026-03-15 12:12:07.565037,2026-03-15,12,Sunday,11,99,1
38785078,ST0078,C01003,2025-11-05 06:59:07.565037,2025-11-05,6,Wednesday,7,89,1
2AD32ECE,ST0039,C00692,2026-01-18 05:12:07.565037,2026-01-18,5,Sunday,8,78,1
6E958603,ST0002,C00915,2025-03-30 11:13:07.565037,2025-03-30,11,Sunday,9,80,1
CD614A3C,ST0066,C00075,2025-04-04 21:18:07.565037,2025-04-04,21,Friday,10,94,1
4E4CDA8C,ST0013,C01297,2025-07-22 23:01:07.565037,2025-07-22,23,Tuesday,6,91,1
88CAC1A6,ST0063,C01265,2025-08-05 05:25:07.565037,2025-08-05,5,Tuesday,7,75,1
DDAA9C28,ST0003,C00301,2025-12-11 12:25:07.565037,2025-12-11,12,Thursday,10,98,0
BE5B866F,ST0046,C01486,2026-02-06 21:20:07.565037,2026-02-06,21,Friday,8,65,1
A766E3B7,ST0067,C00527,2026-02-07 03:23:07.565037,2026-02-07,3,Saturday,6,65,1
8435C9F9,ST0016,C01170,2025-10-24 21:46:07.565037,2025-10-24,21,Friday,9,76,0
EF1F8999,ST0072,C00101,2026-01-27 10:30:07.565037,2026-01-27,10,Tuesday,9,83,1
65F25F33,ST0067,C01411,2025-07-06 07:13:07.565037,2025-07-06,7,Sunday,6,71,1
F268FF1E,ST0023,C00559,2026-02-23 19:34:07.565037,2026-02-23,19,Monday,6,60,1
D767FFFB,ST0011,C00563,2025-03-27 07:38:07.565037,2025-03-27,7,Thursday,9,77,1
311FB8FA,ST0025,C00453,2026-02-06 04:02:07.565037,2026-02-06,4,Friday,8,64,1
91A2C02D,ST0037,C01301,2026-03-17 08:33:07.565037,2026-03-17,8,Tuesday,8,98,1
2CBB1CBD,ST0025,C00710,2025-10-03 09:55:07.565037,2025-10-03,9,Friday,5,88,1
